Ano;Agente TÛxico;Estado;Quantidade
2007;Ign/Branco;AL;216
2007;Medicamento;AL;80
2007;AgrotÛxico agrÌcola;AL;49
2007;AgrotÛxico domÈstico;AL;0
2007;AgrotÛxico sa˙de p˙blica;AL;0
2007;Raticida;AL;11
2007;Prod. veterin·rio;AL;1
2007;Prod. uso domiciliar;AL;31
2007;CosmÈtico;AL;3
2007;Prod. quÌmico;AL;7
2007;Metal;AL;1
2007;Drogas de abuso;AL;1
2007;Planta tÛxica;AL;45
2007;Alimento e bebida;AL;4
2007;Outro;AL;21
2007;Ign/Branco;SE;0
2007;Medicamento;SE;0
2007;AgrotÛxico agrÌcola;SE;1
2007;AgrotÛxico domÈstico;SE;0
2007;AgrotÛxico sa˙de p˙blica;SE;0
2007;Raticida;SE;0
2007;Prod. veterin·rio;SE;0
2007;Prod. uso domiciliar;SE;0
2007;CosmÈtico;SE;0
2007;Prod. quÌmico;SE;0
2007;Metal;SE;0
2007;Drogas de abuso;SE;0
2007;Planta tÛxica;SE;0
2007;Alimento e bebida;SE;1
2007;Outro;SE;0
2007;Ign/Branco;BA;240
2007;Medicamento;BA;95
2007;AgrotÛxico agrÌcola;BA;89
2007;AgrotÛxico domÈstico;BA;10
2007;AgrotÛxico sa˙de p˙blica;BA;1
2007;Raticida;BA;44
2007;Prod. veterin·rio;BA;4
2007;Prod. uso domiciliar;BA;19
2007;CosmÈtico;BA;2
2007;Prod. quÌmico;BA;12
2007;Metal;BA;1
2007;Drogas de abuso;BA;6
2007;Planta tÛxica;BA;8
2007;Alimento e bebida;BA;50
2007;Outro;BA;10
2007;Ign/Branco;MG;266
2007;Medicamento;MG;1204
2007;AgrotÛxico agrÌcola;MG;128
2007;AgrotÛxico domÈstico;MG;37
2007;AgrotÛxico sa˙de p˙blica;MG;28
2007;Raticida;MG;188
2007;Prod. veterin·rio;MG;41
2007;Prod. uso domiciliar;MG;147
2007;CosmÈtico;MG;37
2007;Prod. quÌmico;MG;73
2007;Metal;MG;6
2007;Drogas de abuso;MG;73
2007;Planta tÛxica;MG;36
2007;Alimento e bebida;MG;323
2007;Outro;MG;162
2007;Ign/Branco;ES;74
2007;Medicamento;ES;124
2007;AgrotÛxico agrÌcola;ES;69
2007;AgrotÛxico domÈstico;ES;5
2007;AgrotÛxico sa˙de p˙blica;ES;2
2007;Raticida;ES;35
2007;Prod. veterin·rio;ES;0
2007;Prod. uso domiciliar;ES;12
2007;CosmÈtico;ES;1
2007;Prod. quÌmico;ES;11
2007;Metal;ES;0
2007;Drogas de abuso;ES;39
2007;Planta tÛxica;ES;14
2007;Alimento e bebida;ES;205
2007;Outro;ES;11
2007;Ign/Branco;RJ;1696
2007;Medicamento;RJ;130
2007;AgrotÛxico agrÌcola;RJ;12
2007;AgrotÛxico domÈstico;RJ;6
2007;AgrotÛxico sa˙de p˙blica;RJ;3
2007;Raticida;RJ;61
2007;Prod. veterin·rio;RJ;1
2007;Prod. uso domiciliar;RJ;26
2007;CosmÈtico;RJ;1
2007;Prod. quÌmico;RJ;14
2007;Metal;RJ;0
2007;Drogas de abuso;RJ;9
2007;Planta tÛxica;RJ;2
2007;Alimento e bebida;RJ;29
2007;Outro;RJ;15
2007;Ign/Branco;SP;580
2007;Medicamento;SP;1583
2007;AgrotÛxico agrÌcola;SP;224
2007;AgrotÛxico domÈstico;SP;60
2007;AgrotÛxico sa˙de p˙blica;SP;8
2007;Raticida;SP;462
2007;Prod. veterin·rio;SP;63
2007;Prod. uso domiciliar;SP;335
2007;CosmÈtico;SP;32
2007;Prod. quÌmico;SP;191
2007;Metal;SP;8
2007;Drogas de abuso;SP;229
2007;Planta tÛxica;SP;22
2007;Alimento e bebida;SP;146
2007;Outro;SP;130
2007;Ign/Branco;PR;607
2007;Medicamento;PR;3492
2007;AgrotÛxico agrÌcola;PR;729
2007;AgrotÛxico domÈstico;PR;183
2007;AgrotÛxico sa˙de p˙blica;PR;7
2007;Raticida;PR;541
2007;Prod. veterin·rio;PR;108
2007;Prod. uso domiciliar;PR;632
2007;CosmÈtico;PR;66
2007;Prod. quÌmico;PR;453
2007;Metal;PR;34
2007;Drogas de abuso;PR;464
2007;Planta tÛxica;PR;102
2007;Alimento e bebida;PR;498
2007;Outro;PR;140
2007;Ign/Branco;SC;401
2007;Medicamento;SC;475
2007;AgrotÛxico agrÌcola;SC;141
2007;AgrotÛxico domÈstico;SC;19
2007;AgrotÛxico sa˙de p˙blica;SC;1
2007;Raticida;SC;71
2007;Prod. veterin·rio;SC;12
2007;Prod. uso domiciliar;SC;56
2007;CosmÈtico;SC;10
2007;Prod. quÌmico;SC;29
2007;Metal;SC;3
2007;Drogas de abuso;SC;64
2007;Planta tÛxica;SC;11
2007;Alimento e bebida;SC;49
2007;Outro;SC;15
2007;Ign/Branco;RS;40
2007;Medicamento;RS;143
2007;AgrotÛxico agrÌcola;RS;39
2007;AgrotÛxico domÈstico;RS;10
2007;AgrotÛxico sa˙de p˙blica;RS;0
2007;Raticida;RS;16
2007;Prod. veterin·rio;RS;4
2007;Prod. uso domiciliar;RS;8
2007;CosmÈtico;RS;2
2007;Prod. quÌmico;RS;9
2007;Metal;RS;0
2007;Drogas de abuso;RS;10
2007;Planta tÛxica;RS;1
2007;Alimento e bebida;RS;28
2007;Outro;RS;14
2007;Ign/Branco;MS;52
2007;Medicamento;MS;242
2007;AgrotÛxico agrÌcola;MS;39
2007;AgrotÛxico domÈstico;MS;13
2007;AgrotÛxico sa˙de p˙blica;MS;10
2007;Raticida;MS;50
2007;Prod. veterin·rio;MS;26
2007;Prod. uso domiciliar;MS;103
2007;CosmÈtico;MS;4
2007;Prod. quÌmico;MS;23
2007;Metal;MS;1
2007;Drogas de abuso;MS;16
2007;Planta tÛxica;MS;26
2007;Alimento e bebida;MS;17
2007;Outro;MS;9
2007;Ign/Branco;MT;64
2007;Medicamento;MT;17
2007;AgrotÛxico agrÌcola;MT;51
2007;AgrotÛxico domÈstico;MT;6
2007;AgrotÛxico sa˙de p˙blica;MT;1
2007;Raticida;MT;7
2007;Prod. veterin·rio;MT;4
2007;Prod. uso domiciliar;MT;4
2007;CosmÈtico;MT;1
2007;Prod. quÌmico;MT;14
2007;Metal;MT;0
2007;Drogas de abuso;MT;0
2007;Planta tÛxica;MT;2
2007;Alimento e bebida;MT;4
2007;Outro;MT;3
2007;Ign/Branco;GO;171
2007;Medicamento;GO;273
2007;AgrotÛxico agrÌcola;GO;70
2007;AgrotÛxico domÈstico;GO;25
2007;AgrotÛxico sa˙de p˙blica;GO;3
2007;Raticida;GO;102
2007;Prod. veterin·rio;GO;26
2007;Prod. uso domiciliar;GO;36
2007;CosmÈtico;GO;6
2007;Prod. quÌmico;GO;35
2007;Metal;GO;2
2007;Drogas de abuso;GO;9
2007;Planta tÛxica;GO;10
2007;Alimento e bebida;GO;86
2007;Outro;GO;22
2007;Ign/Branco;DF;0
2007;Medicamento;DF;1
2007;AgrotÛxico agrÌcola;DF;0
2007;AgrotÛxico domÈstico;DF;0
2007;AgrotÛxico sa˙de p˙blica;DF;0
2007;Raticida;DF;0
2007;Prod. veterin·rio;DF;0
2007;Prod. uso domiciliar;DF;0
2007;CosmÈtico;DF;0
2007;Prod. quÌmico;DF;0
2007;Metal;DF;0
2007;Drogas de abuso;DF;0
2007;Planta tÛxica;DF;0
2007;Alimento e bebida;DF;0
2007;Outro;DF;0
2008;Ign/Branco;RO;26
2008;Medicamento;RO;28
2008;AgrotÛxico agrÌcola;RO;44
2008;AgrotÛxico domÈstico;RO;6
2008;AgrotÛxico sa˙de p˙blica;RO;1
2008;Raticida;RO;16
2008;Prod. veterin·rio;RO;7
2008;Prod. uso domiciliar;RO;11
2008;CosmÈtico;RO;2
2008;Prod. quÌmico;RO;7
2008;Metal;RO;0
2008;Drogas de abuso;RO;0
2008;Planta tÛxica;RO;1
2008;Alimento e bebida;RO;23
2008;Outro;RO;1
2008;Ign/Branco;AM;5
2008;Medicamento;AM;1
2008;AgrotÛxico agrÌcola;AM;2
2008;AgrotÛxico domÈstico;AM;0
2008;AgrotÛxico sa˙de p˙blica;AM;0
2008;Raticida;AM;2
2008;Prod. veterin·rio;AM;0
2008;Prod. uso domiciliar;AM;2
2008;CosmÈtico;AM;0
2008;Prod. quÌmico;AM;0
2008;Metal;AM;0
2008;Drogas de abuso;AM;0
2008;Planta tÛxica;AM;0
2008;Alimento e bebida;AM;0
2008;Outro;AM;2
2008;Ign/Branco;RR;3
2008;Medicamento;RR;19
2008;AgrotÛxico agrÌcola;RR;0
2008;AgrotÛxico domÈstico;RR;0
2008;AgrotÛxico sa˙de p˙blica;RR;0
2008;Raticida;RR;2
2008;Prod. veterin·rio;RR;1
2008;Prod. uso domiciliar;RR;20
2008;CosmÈtico;RR;5
2008;Prod. quÌmico;RR;2
2008;Metal;RR;0
2008;Drogas de abuso;RR;3
2008;Planta tÛxica;RR;5
2008;Alimento e bebida;RR;31
2008;Outro;RR;8
2008;Ign/Branco;PA;29
2008;Medicamento;PA;7
2008;AgrotÛxico agrÌcola;PA;5
2008;AgrotÛxico domÈstico;PA;2
2008;AgrotÛxico sa˙de p˙blica;PA;1
2008;Raticida;PA;14
2008;Prod. veterin·rio;PA;0
2008;Prod. uso domiciliar;PA;9
2008;CosmÈtico;PA;0
2008;Prod. quÌmico;PA;5
2008;Metal;PA;0
2008;Drogas de abuso;PA;2
2008;Planta tÛxica;PA;0
2008;Alimento e bebida;PA;10
2008;Outro;PA;2
2008;Ign/Branco;TO;99
2008;Medicamento;TO;113
2008;AgrotÛxico agrÌcola;TO;26
2008;AgrotÛxico domÈstico;TO;14
2008;AgrotÛxico sa˙de p˙blica;TO;13
2008;Raticida;TO;67
2008;Prod. veterin·rio;TO;26
2008;Prod. uso domiciliar;TO;59
2008;CosmÈtico;TO;6
2008;Prod. quÌmico;TO;22
2008;Metal;TO;1
2008;Drogas de abuso;TO;12
2008;Planta tÛxica;TO;13
2008;Alimento e bebida;TO;137
2008;Outro;TO;30
2008;Ign/Branco;MA;7
2008;Medicamento;MA;9
2008;AgrotÛxico agrÌcola;MA;8
2008;AgrotÛxico domÈstico;MA;2
2008;AgrotÛxico sa˙de p˙blica;MA;1
2008;Raticida;MA;20
2008;Prod. veterin·rio;MA;3
2008;Prod. uso domiciliar;MA;6
2008;CosmÈtico;MA;0
2008;Prod. quÌmico;MA;1
2008;Metal;MA;0
2008;Drogas de abuso;MA;1
2008;Planta tÛxica;MA;1
2008;Alimento e bebida;MA;1
2008;Outro;MA;0
2008;Ign/Branco;PI;96
2008;Medicamento;PI;63
2008;AgrotÛxico agrÌcola;PI;12
2008;AgrotÛxico domÈstico;PI;6
2008;AgrotÛxico sa˙de p˙blica;PI;0
2008;Raticida;PI;10
2008;Prod. veterin·rio;PI;3
2008;Prod. uso domiciliar;PI;7
2008;CosmÈtico;PI;3
2008;Prod. quÌmico;PI;4
2008;Metal;PI;0
2008;Drogas de abuso;PI;12
2008;Planta tÛxica;PI;4
2008;Alimento e bebida;PI;42
2008;Outro;PI;6
2008;Ign/Branco;CE;114
2008;Medicamento;CE;222
2008;AgrotÛxico agrÌcola;CE;42
2008;AgrotÛxico domÈstico;CE;8
2008;AgrotÛxico sa˙de p˙blica;CE;1
2008;Raticida;CE;61
2008;Prod. veterin·rio;CE;8
2008;Prod. uso domiciliar;CE;26
2008;CosmÈtico;CE;8
2008;Prod. quÌmico;CE;12
2008;Metal;CE;0
2008;Drogas de abuso;CE;57
2008;Planta tÛxica;CE;7
2008;Alimento e bebida;CE;104
2008;Outro;CE;11
2008;Ign/Branco;RN;28
2008;Medicamento;RN;6
2008;AgrotÛxico agrÌcola;RN;10
2008;AgrotÛxico domÈstico;RN;9
2008;AgrotÛxico sa˙de p˙blica;RN;0
2008;Raticida;RN;2
2008;Prod. veterin·rio;RN;1
2008;Prod. uso domiciliar;RN;2
2008;CosmÈtico;RN;0
2008;Prod. quÌmico;RN;2
2008;Metal;RN;0
2008;Drogas de abuso;RN;0
2008;Planta tÛxica;RN;1
2008;Alimento e bebida;RN;13
2008;Outro;RN;0
2008;Ign/Branco;PB;11
2008;Medicamento;PB;7
2008;AgrotÛxico agrÌcola;PB;4
2008;AgrotÛxico domÈstico;PB;0
2008;AgrotÛxico sa˙de p˙blica;PB;16
2008;Raticida;PB;1
2008;Prod. veterin·rio;PB;1
2008;Prod. uso domiciliar;PB;3
2008;CosmÈtico;PB;0
2008;Prod. quÌmico;PB;1
2008;Metal;PB;0
2008;Drogas de abuso;PB;1
2008;Planta tÛxica;PB;0
2008;Alimento e bebida;PB;9
2008;Outro;PB;3
2008;Ign/Branco;PE;467
2008;Medicamento;PE;1141
2008;AgrotÛxico agrÌcola;PE;314
2008;AgrotÛxico domÈstico;PE;39
2008;AgrotÛxico sa˙de p˙blica;PE;0
2008;Raticida;PE;266
2008;Prod. veterin·rio;PE;19
2008;Prod. uso domiciliar;PE;211
2008;CosmÈtico;PE;17
2008;Prod. quÌmico;PE;98
2008;Metal;PE;1
2008;Drogas de abuso;PE;113
2008;Planta tÛxica;PE;27
2008;Alimento e bebida;PE;615
2008;Outro;PE;118
2008;Ign/Branco;AL;372
2008;Medicamento;AL;579
2008;AgrotÛxico agrÌcola;AL;134
2008;AgrotÛxico domÈstico;AL;41
2008;AgrotÛxico sa˙de p˙blica;AL;1
2008;Raticida;AL;52
2008;Prod. veterin·rio;AL;30
2008;Prod. uso domiciliar;AL;156
2008;CosmÈtico;AL;8
2008;Prod. quÌmico;AL;14
2008;Metal;AL;0
2008;Drogas de abuso;AL;5
2008;Planta tÛxica;AL;46
2008;Alimento e bebida;AL;161
2008;Outro;AL;175
2008;Ign/Branco;SE;2
2008;Medicamento;SE;0
2008;AgrotÛxico agrÌcola;SE;1
2008;AgrotÛxico domÈstico;SE;0
2008;AgrotÛxico sa˙de p˙blica;SE;0
2008;Raticida;SE;0
2008;Prod. veterin·rio;SE;0
2008;Prod. uso domiciliar;SE;0
2008;CosmÈtico;SE;0
2008;Prod. quÌmico;SE;0
2008;Metal;SE;0
2008;Drogas de abuso;SE;0
2008;Planta tÛxica;SE;0
2008;Alimento e bebida;SE;0
2008;Outro;SE;0
2008;Ign/Branco;BA;232
2008;Medicamento;BA;173
2008;AgrotÛxico agrÌcola;BA;64
2008;AgrotÛxico domÈstico;BA;10
2008;AgrotÛxico sa˙de p˙blica;BA;3
2008;Raticida;BA;67
2008;Prod. veterin·rio;BA;5
2008;Prod. uso domiciliar;BA;41
2008;CosmÈtico;BA;2
2008;Prod. quÌmico;BA;24
2008;Metal;BA;4
2008;Drogas de abuso;BA;27
2008;Planta tÛxica;BA;26
2008;Alimento e bebida;BA;115
2008;Outro;BA;12
2008;Ign/Branco;MG;396
2008;Medicamento;MG;1915
2008;AgrotÛxico agrÌcola;MG;181
2008;AgrotÛxico domÈstico;MG;46
2008;AgrotÛxico sa˙de p˙blica;MG;9
2008;Raticida;MG;323
2008;Prod. veterin·rio;MG;70
2008;Prod. uso domiciliar;MG;248
2008;CosmÈtico;MG;62
2008;Prod. quÌmico;MG;116
2008;Metal;MG;94
2008;Drogas de abuso;MG;123
2008;Planta tÛxica;MG;62
2008;Alimento e bebida;MG;741
2008;Outro;MG;337
2008;Ign/Branco;ES;102
2008;Medicamento;ES;255
2008;AgrotÛxico agrÌcola;ES;88
2008;AgrotÛxico domÈstico;ES;11
2008;AgrotÛxico sa˙de p˙blica;ES;2
2008;Raticida;ES;31
2008;Prod. veterin·rio;ES;5
2008;Prod. uso domiciliar;ES;29
2008;CosmÈtico;ES;5
2008;Prod. quÌmico;ES;19
2008;Metal;ES;1
2008;Drogas de abuso;ES;19
2008;Planta tÛxica;ES;5
2008;Alimento e bebida;ES;202
2008;Outro;ES;12
2008;Ign/Branco;RJ;1183
2008;Medicamento;RJ;296
2008;AgrotÛxico agrÌcola;RJ;51
2008;AgrotÛxico domÈstico;RJ;14
2008;AgrotÛxico sa˙de p˙blica;RJ;24
2008;Raticida;RJ;94
2008;Prod. veterin·rio;RJ;3
2008;Prod. uso domiciliar;RJ;163
2008;CosmÈtico;RJ;13
2008;Prod. quÌmico;RJ;50
2008;Metal;RJ;9
2008;Drogas de abuso;RJ;35
2008;Planta tÛxica;RJ;4
2008;Alimento e bebida;RJ;40
2008;Outro;RJ;61
2008;Ign/Branco;SP;757
2008;Medicamento;SP;2517
2008;AgrotÛxico agrÌcola;SP;307
2008;AgrotÛxico domÈstico;SP;87
2008;AgrotÛxico sa˙de p˙blica;SP;13
2008;Raticida;SP;641
2008;Prod. veterin·rio;SP;64
2008;Prod. uso domiciliar;SP;412
2008;CosmÈtico;SP;36
2008;Prod. quÌmico;SP;231
2008;Metal;SP;15
2008;Drogas de abuso;SP;660
2008;Planta tÛxica;SP;37
2008;Alimento e bebida;SP;199
2008;Outro;SP;206
2008;Ign/Branco;PR;448
2008;Medicamento;PR;3254
2008;AgrotÛxico agrÌcola;PR;652
2008;AgrotÛxico domÈstico;PR;162
2008;AgrotÛxico sa˙de p˙blica;PR;5
2008;Raticida;PR;466
2008;Prod. veterin·rio;PR;96
2008;Prod. uso domiciliar;PR;528
2008;CosmÈtico;PR;60
2008;Prod. quÌmico;PR;385
2008;Metal;PR;28
2008;Drogas de abuso;PR;548
2008;Planta tÛxica;PR;123
2008;Alimento e bebida;PR;360
2008;Outro;PR;122
2008;Ign/Branco;SC;138
2008;Medicamento;SC;806
2008;AgrotÛxico agrÌcola;SC;227
2008;AgrotÛxico domÈstico;SC;32
2008;AgrotÛxico sa˙de p˙blica;SC;4
2008;Raticida;SC;107
2008;Prod. veterin·rio;SC;32
2008;Prod. uso domiciliar;SC;84
2008;CosmÈtico;SC;6
2008;Prod. quÌmico;SC;70
2008;Metal;SC;0
2008;Drogas de abuso;SC;73
2008;Planta tÛxica;SC;13
2008;Alimento e bebida;SC;40
2008;Outro;SC;37
2008;Ign/Branco;RS;52
2008;Medicamento;RS;141
2008;AgrotÛxico agrÌcola;RS;50
2008;AgrotÛxico domÈstico;RS;9
2008;AgrotÛxico sa˙de p˙blica;RS;0
2008;Raticida;RS;8
2008;Prod. veterin·rio;RS;10
2008;Prod. uso domiciliar;RS;14
2008;CosmÈtico;RS;0
2008;Prod. quÌmico;RS;8
2008;Metal;RS;0
2008;Drogas de abuso;RS;12
2008;Planta tÛxica;RS;2
2008;Alimento e bebida;RS;27
2008;Outro;RS;6
2008;Ign/Branco;MS;52
2008;Medicamento;MS;283
2008;AgrotÛxico agrÌcola;MS;56
2008;AgrotÛxico domÈstico;MS;20
2008;AgrotÛxico sa˙de p˙blica;MS;6
2008;Raticida;MS;42
2008;Prod. veterin·rio;MS;13
2008;Prod. uso domiciliar;MS;58
2008;CosmÈtico;MS;4
2008;Prod. quÌmico;MS;40
2008;Metal;MS;3
2008;Drogas de abuso;MS;109
2008;Planta tÛxica;MS;13
2008;Alimento e bebida;MS;59
2008;Outro;MS;38
2008;Ign/Branco;MT;122
2008;Medicamento;MT;154
2008;AgrotÛxico agrÌcola;MT;115
2008;AgrotÛxico domÈstico;MT;12
2008;AgrotÛxico sa˙de p˙blica;MT;4
2008;Raticida;MT;33
2008;Prod. veterin·rio;MT;12
2008;Prod. uso domiciliar;MT;43
2008;CosmÈtico;MT;0
2008;Prod. quÌmico;MT;39
2008;Metal;MT;0
2008;Drogas de abuso;MT;9
2008;Planta tÛxica;MT;13
2008;Alimento e bebida;MT;38
2008;Outro;MT;20
2008;Ign/Branco;GO;129
2008;Medicamento;GO;285
2008;AgrotÛxico agrÌcola;GO;99
2008;AgrotÛxico domÈstico;GO;19
2008;AgrotÛxico sa˙de p˙blica;GO;1
2008;Raticida;GO;92
2008;Prod. veterin·rio;GO;36
2008;Prod. uso domiciliar;GO;42
2008;CosmÈtico;GO;7
2008;Prod. quÌmico;GO;41
2008;Metal;GO;0
2008;Drogas de abuso;GO;17
2008;Planta tÛxica;GO;8
2008;Alimento e bebida;GO;62
2008;Outro;GO;10
2008;Ign/Branco;DF;15
2008;Medicamento;DF;1
2008;AgrotÛxico agrÌcola;DF;1
2008;AgrotÛxico domÈstico;DF;7
2008;AgrotÛxico sa˙de p˙blica;DF;0
2008;Raticida;DF;0
2008;Prod. veterin·rio;DF;0
2008;Prod. uso domiciliar;DF;0
2008;CosmÈtico;DF;0
2008;Prod. quÌmico;DF;2
2008;Metal;DF;0
2008;Drogas de abuso;DF;0
2008;Planta tÛxica;DF;0
2008;Alimento e bebida;DF;0
2008;Outro;DF;0
2009;Ign/Branco;RO;56
2009;Medicamento;RO;45
2009;AgrotÛxico agrÌcola;RO;38
2009;AgrotÛxico domÈstico;RO;7
2009;AgrotÛxico sa˙de p˙blica;RO;0
2009;Raticida;RO;13
2009;Prod. veterin·rio;RO;6
2009;Prod. uso domiciliar;RO;12
2009;CosmÈtico;RO;0
2009;Prod. quÌmico;RO;34
2009;Metal;RO;0
2009;Drogas de abuso;RO;2
2009;Planta tÛxica;RO;5
2009;Alimento e bebida;RO;13
2009;Outro;RO;4
2009;Ign/Branco;AM;1
2009;Medicamento;AM;1
2009;AgrotÛxico agrÌcola;AM;0
2009;AgrotÛxico domÈstico;AM;2
2009;AgrotÛxico sa˙de p˙blica;AM;0
2009;Raticida;AM;3
2009;Prod. veterin·rio;AM;0
2009;Prod. uso domiciliar;AM;2
2009;CosmÈtico;AM;0
2009;Prod. quÌmico;AM;1
2009;Metal;AM;0
2009;Drogas de abuso;AM;0
2009;Planta tÛxica;AM;0
2009;Alimento e bebida;AM;0
2009;Outro;AM;2
2009;Ign/Branco;RR;17
2009;Medicamento;RR;29
2009;AgrotÛxico agrÌcola;RR;0
2009;AgrotÛxico domÈstico;RR;3
2009;AgrotÛxico sa˙de p˙blica;RR;0
2009;Raticida;RR;12
2009;Prod. veterin·rio;RR;1
2009;Prod. uso domiciliar;RR;21
2009;CosmÈtico;RR;7
2009;Prod. quÌmico;RR;12
2009;Metal;RR;0
2009;Drogas de abuso;RR;0
2009;Planta tÛxica;RR;3
